Date,Open,High,Low,Close
15-October-2020,15582.07,15582.07,15147.06,15167.70,
16-October-2020,15235.04,15305.35,15153.52,15288.93,
19-October-2020,15397.56,15433.79,15355.71,15424.93,
20-October-2020,15418.59,15504.53,15381.29,15463.33,
21-October-2020,15543.36,15602.91,15308.21,15499.84,
22-October-2020,15455.29,15512.31,15390.83,15487.76,
23-October-2020,15551.81,15581.52,15518.26,15539.30,
26-October-2020,15549.66,15564.10,15270.63,15330.08,
27-October-2020,15346.02,15492.62,15261.34,15484.29,
28-October-2020,15526.71,15534.47,15250.72,15291.29,
29-October-2020,15153.91,15304.14,15137.93,15235.82,
30-October-2020,15263.18,15344.84,15089.86,15215.01,
2-November-2020,15303.99,15304.01,15125.40,15236.96,
3-November-2020,15317.06,15426.43,15313.51,15394.89,
4-November-2020,15380.98,15528.52,15333.44,15508.25,
5-November-2020,15656.11,15783.22,15649.42,15776.32,
6-November-2020,15813.39,15944.94,15801.32,15927.38,
